edition,edition_id,year,country,country_noc,gold,silver,bronze,total,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1968 Summer Olympics,17,1968,Finland,FIN,1,2,1,4,536.0,338150.0,,15.01927837420795,6.116971165410873,80800000.0,1.7465214702280774,,,,,,,6.0712415818546805,8825949040.029709,4849663261.7593355,3.770799074582945,1928.7299220815598,4770984071.558025,1865.0,,12.725,16.25,69.33560975609757,64.95067615711721,0.45151036311601,4574722.0,2676359.5,58.501065179212574
1968 Summer Olympics,17,1968,Ethiopia,ETH,1,1,0,2,,1221900.0,,,-0.27659460180719597,99662500.0,2.9362359457669376,,,,,,,2.5315171264443688,2232589048.8999996,5581472622.25,5.295150886090105,90.48207894232385,5568047726.25,90.0,,,143.05,40.98950000000001,54.551962153389375,2.6411820700154527,24637531.25,1942432.25,7.879205358743173
1968 Summer Olympics,17,1968,Norway,NOR,1,1,0,2,1414.0,385178.0,,10.236347482778624,4.471018232023065,1877750000.0,3.3994057871589347,,,,,,,4.109706178956555,8412447925.776322,60351572232.9217,5.084463012107233,2248.1598750007374,59634592029.70263,2180.0,,11.225000000000001,15.7,73.84524390243902,63.1802110498124,0.7919115759407355,3738764.5,2133656.5,57.0453508211303
1968 Summer Olympics,17,1968,New Zealand,NZL,1,0,2,3,1732.0,267710.0,,10.07728532907978,3.921199017745078,99106250.0,2.5228435655620776,,,,,,,2.856787541185085,6245118183.920071,4142592532.2039423,3.46851367702208,2357.5345015964776,4079634351.8381224,2512.5,,,18.6,71.28841463414635,58.99380458564433,1.83018965280958,2653450.0,1818839.25,68.51134825242538
1968 Summer Olympics,17,1968,Tunisia,TUN,1,0,1,2,207.0,163610.0,,29.712459770854778,,7450000.0,1.4426080354629076,150476190.47619,511066666.6666667,34.5693022420404,19.560244314276968,267800000.0,49.04327180111903,8.409695232930355,1035895269.4677873,523648264.0,-0.8989554308109104,224.38731315055225,510482840.0,212.5,,51.0,140.04999999999998,48.69775,51.84099206839932,1.8174921134465425,4616127.75,1847998.75,40.01752319249457
1968 Summer Olympics,17,1968,Pakistan,PAK,1,0,0,1,494.0,796100.0,,68.72095656911583,5.9468108982452925,2054125000.0,5.476420926638047,760027299.4540107,32141250000.0,21.713924410917524,18.491077829002073,11413750000.0,37.92951090713073,5.0486573017070775,6289951700.965978,29952750000.0,7.294921917425935,118.36169973939676,29810725704.0,115.0,,79.75,144.975,49.2215,54.60377287361877,2.75783428495278,52975611.0,12615074.75,23.80511307351565
1968 Summer Olympics,17,1968,Venezuela,VEN,1,0,0,1,2044.0,912050.0,,11.183852672751,,1028000.0,2.6496306843085926,1012894061.3026812,0.00039570975000000004,46.459003426083825,,,,1.719964907145099,8662881226.05364,0.0003867575,4.909082775008745,877.8968425106984,0.00035657150000000003,875.0,,,52.925000000000004,62.380250000000004,50.77509968946529,3.337396328251565,9864717.25,6653228.75,67.40124545770979
1968 Summer Olympics,17,1968,Cuba,CUB,0,4,0,4,1335.0,109890.0,,75.5188361266294,,,,,,,,,,,,,,,,,,,35.925,65.872,58.08212591610315,2.0284992668929425,8110723.0,4781242.25,58.94297623163955
1968 Summer Olympics,17,1968,Austria,AUT,0,2,2,4,1110.0,83879.0,,88.44448012603007,3.7072433619243004,308000000.0,1.657021294341555,,,,,,,3.7188330792456274,10457350960.414927,19759098798.130924,4.563859466077945,1431.9312504834375,19877818646.1997,1425.0,,19.95,27.949999999999996,69.9019512195122,63.248832086555296,0.6912748543050737,7298438.5,3701483.0,50.714462267525825
1968 Summer Olympics,17,1968,Switzerland,SUI,0,1,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
