sport,year,n_nations,n_events,athletes_per_event,pct_team_events,hhi_gold,hhi_gold_athletes,n_nations_with_gold,mean_gold_per_athletes,hhi_total,hhi_total_athletes,n_nations_with_medal,mean_total_per_athletes
Cycling Road,1992,53,3,68.66666666666667,0.3333333333333333,0.3333333333333333,0.33412604042806193,3,0.1074074074074074,0.18518518518518517,0.19156804733727814,6,0.19259259259259257
Cycling Road,1996,54,4,74.0,0.0,0.25,0.25061224489795925,4,0.12152777777777778,0.1388888888888889,0.13630933627389205,8,0.19166666666666665
Cycling Road,2000,43,4,67.75,0.0,0.375,0.38285714285714295,3,0.16203703703703703,0.2066115702479339,0.1841546203716723,7,0.20175736961451246
Cycling Road,2004,47,4,67.25,0.0,0.25,0.2506122448979592,4,0.12152777777777778,0.125,0.12424590634875038,9,0.18209876543209877
Cycling Road,2008,54,4,66.5,0.0,0.25,0.25857528812284114,4,0.15267857142857144,0.16666666666666669,0.1923742976563471,7,0.2659863945578231
Cycling Road,2012,67,4,67.0,0.0,0.25,0.41333333333333316,4,0.20833333333333337,0.1527777777777778,0.15165507798867084,8,0.26805555555555555
Cycling Road,2016,66,4,66.75,0.0,0.25,0.260409057706355,4,0.15416666666666667,0.125,0.11915797332720454,10,0.21623015873015872
Cycling Road,2020,64,4,63.0,0.0,0.25,0.32403168772785834,4,0.2652777777777778,0.18055555555555558,0.16337015758812318,8,0.26805555555555555
Cycling Track,1964,26,5,22.8,0.4,0.28,0.26956521739130435,4,0.17113095238095238,0.21777777777777782,0.19936147868094944,8,0.25669642857142855
Cycling Track,1968,36,5,27.8,0.4,0.6800000000000002,0.7340720221606647,2,0.3958333333333333,0.19111111111111112,0.19968739640360442,8,0.28675595238095236
Cycling Track,1972,36,5,28.2,0.4,0.20000000000000004,0.3077017963521499,5,0.2041269841269841,0.12000000000000002,0.12280523845253442,10,0.2529365079365079
Cycling Track,1976,34,4,23.5,0.25,0.375,0.375,3,0.2222222222222222,0.1388888888888889,0.13927469135802473,9,0.26666666666666666
Cycling Track,1980,20,4,14.5,0.25,0.375,0.359504132231405,3,0.20952380952380953,0.18055555555555558,0.19511670180297216,7,0.42244897959183675
Cycling Track,1984,30,5,28.2,0.2,0.28,0.266833203028165,4,0.15902777777777777,0.2088888888888889,0.20415420529617312,8,0.35064484126984125
Cycling Track,1988,40,6,21.5,0.16666666666666666,0.5,0.46533203125,3,0.23703703703703702,0.2222222222222222,0.1986001710975916,7,0.30453514739229026
Cycling Track,1992,47,7,22.571428571428573,0.14285714285714285,0.2653061224489796,0.35864556618919535,5,0.365,0.12925170068027209,0.1370373445628482,12,0.30830026455026455
Cycling Track,1996,43,8,19.25,0.125,0.40625,0.40625,3,0.2962962962962963,0.1527777777777778,0.14451372232288173,9,0.3507696007696007
Cycling Track,2000,37,12,15.833333333333334,0.25,0.18055555555555555,0.1555877252428065,8,0.13247169497169498,0.11574074074074074,0.10132749660783279,13,0.3873408642639411
Cycling Track,2004,40,12,15.833333333333334,0.25,0.25000000000000006,0.32112198983064094,6,0.3244625744625745,0.11882716049382719,0.08825930226204935,15,0.37716986716986717
Cycling Track,2008,35,10,17.1,0.3,0.5199999999999999,0.35073993778867,4,0.306547619047619,0.19333333333333338,0.11624950402266009,14,0.273330241187384
Cycling Track,2012,33,10,14.7,0.4,0.5199999999999999,0.41793646694214875,4,0.24444444444444446,0.1508844953173777,0.11734133758524579,11,0.3310999606454152
Cycling Track,2016,36,10,18.0,0.4,0.4,0.35389585666627194,5,0.14553030303030307,0.1688888888888889,0.11001887010164468,14,0.2750600589886304
Cycling Track,2020,36,12,18.583333333333332,0.5,0.16666666666666669,0.15784621107450314,8,0.15544871794871795,0.09876543209876543,0.08145303599856557,16,0.2808951465201465
Diving,1964,20,4,25.5,0.0,0.625,0.57396449704142,2,0.18055555555555555,0.4861111111111111,0.34638661445354213,4,0.3680555555555556
Diving,1968,21,4,27.25,0.0,0.375,0.5343915343915344,3,0.4772727272727273,0.3194444444444444,0.2776224085250373,5,0.4824242424242424
Diving,1972,25,4,31.0,0.0,0.25,0.34553717964903413,4,0.3090277777777778,0.19444444444444445,0.24884708411717285,6,0.7060185185185185
Diving,1976,22,4,26.25,0.0,0.375,0.37996219281663524,3,0.17424242424242423,0.2777777777777778,0.22831139433843156,5,0.34069264069264066
Diving,1980,21,4,22.0,0.0,0.5,0.5102040816326532,2,0.19444444444444442,0.375,0.3310249307479224,4,0.5277777777777778
Diving,1984,29,4,25.25,0.0,0.375,0.3839750260145681,3,0.18452380952380953,0.5138888888888888,0.5319690137588161,3,0.5535714285714285
Diving,1988,31,4,27.0,0.0,0.5,0.5022222222222222,2,0.26785714285714285,0.4305555555555556,0.3663435814218675,3,0.5992063492063492
Diving,1992,31,4,28.0,0.0,0.625,0.625,2,0.25,0.3055555555555556,0.2977789256198347,4,0.39285714285714285
Diving,1996,38,4,34.25,0.0,0.625,0.625,2,0.2857142857142857,0.26388888888888895,0.2635336691280748,5,0.34047619047619043
Diving,2000,42,8,25.75,0.5,0.46875,0.44383797759264576,3,0.3511904761904762,0.24305555555555558,0.2265701540274388,8,0.4055059523809524
Diving,2004,30,8,20.5,0.5,0.59375,0.5258175413639519,3,0.2892857142857143,0.24305555555555552,0.2254144589087209,7,0.41468253968253965
Diving,2008,29,8,18.75,0.5,0.78125,0.7635578907862637,2,0.40555555555555556,0.27777777777777773,0.2613748831472031,7,0.3569160997732426
Diving,2012,25,8,18.625,0.5,0.59375,0.5175816430417418,3,0.24458874458874458,0.23611111111111113,0.20187723525572304,8,0.2891549422799423
Diving,2016,29,8,18.25,0.5,0.78125,0.7528395061728395,2,0.3146853146853147,0.22569444444444448,0.16930009914843827,9,0.2657290240623574
Diving,2020,30,8,18.375,0.5,0.78125,0.8098687188773199,2,0.39166666666666666,0.2951388888888889,0.2915368027235581,8,0.30026154401154403
Equestrian Dressage,1964,9,2,14.0,0.5,0.5,0.5,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,3,0.6666666666666666
Equestrian Dressage,1968,9,2,17.0,0.5,0.5,0.5,2,0.3333333333333333,0.3888888888888889,0.3888888888888889,3,0.6666666666666666
Equestrian Dressage,1972,13,2,21.5,0.5,0.5,0.5,2,0.3333333333333333,0.3888888888888889,0.3888888888888889,3,0.6666666666666666
Equestrian Dressage,1976,11,2,17.5,0.5,0.5,0.5,2,0.3333333333333333,0.3888888888888889,0.38888888888888906,3,0.6666666666666666
Equestrian Dressage,1980,6,2,9.0,0.5,0.5,0.625,2,0.6666666666666666,0.3333333333333333,0.3125,4,0.6666666666666666
Equestrian Dressage,1984,18,2,27.5,0.5,1.0,1.0,1,0.6666666666666666,0.2777777777777778,0.27777777777777785,4,0.49999999999999994
Equestrian Dressage,1988,18,2,32.0,0.5,1.0,1.0,1,0.5,0.2777777777777778,0.2686980609418283,4,0.3958333333333333
Equestrian Dressage,1992,18,2,29.5,0.5,1.0,1.0,1,0.5,0.5,0.5,3,0.5
Equestrian Dressage,1996,18,2,29.5,0.5,1.0,1.0,1,0.4,0.3888888888888889,0.4005102040816327,3,0.4666666666666666
Equestrian Dressage,2000,18,2,28.0,0.5,0.5,0.5,2,0.25,0.3888888888888889,0.3888888888888889,3,0.5
Equestrian Dressage,2004,18,2,30.5,0.5,0.5,0.5,2,0.25,0.2777777777777778,0.2777777777777778,4,0.375
Equestrian Dressage,2008,22,2,29.0,0.5,0.5,0.5,2,0.3333333333333333,0.3888888888888889,0.3888888888888889,3,0.6666666666666666
Equestrian Dressage,2012,23,2,30.0,0.5,1.0,1.0,1,0.5,0.3888888888888889,0.3888888888888889,3,0.5
Equestrian Dressage,2016,24,2,35.0,0.5,0.5,0.5,2,0.25,0.3888888888888889,0.3888888888888889,3,0.5
Equestrian Dressage,2020,28,2,36.5,0.5,1.0,1.0,1,0.5,0.3888888888888889,0.368421052631579,3,0.5277777777777778
Equestrian Eventing,1964,12,2,29.5,0.5,1.0,1.0,1,0.5,0.2777777777777778,0.2777777777777778,4,0.375
Equestrian Eventing,1968,13,2,29.5,0.5,0.5,0.5,2,0.25,0.2777777777777778,0.2777777777777778,4,0.375
Equestrian Eventing,1972,19,2,43.5,0.5,1.0,1.0,1,0.5,0.22222222222222227,0.2839506172839506,5,0.45
Equestrian Eventing,1976,13,2,29.0,0.5,1.0,1.0,1,0.5,0.3888888888888889,0.3888888888888889,3,0.5
Equestrian Eventing,1980,7,2,16.5,0.5,1.0,1.0,1,0.25,0.3600000000000001,0.3600000000000001,3,0.4166666666666667
Equestrian Eventing,1984,15,2,28.0,0.5,0.5,0.5,2,0.25,0.2777777777777778,0.2777777777777778,4,0.375
Equestrian Eventing,1988,16,2,28.5,0.5,1.0,1.0,1,0.25,0.52,0.52,2,0.625
Equestrian Eventing,1992,25,2,47.0,0.5,1.0,1.0,1,0.5,0.3333333333333333,0.3333333333333333,3,0.5
Equestrian Eventing,1996,19,2,22.0,0.5,0.5,0.5041322314049586,2,0.18333333333333335,0.3888888888888889,0.41230486685032147,3,0.36666666666666664
