country_noc,sport,success_score_mean,total_golds,total_athletes,success_score_overall
BOT,Athletics,0.0,0.0,61,0.0
BOT,Boxing,0.0,0.0,12,0.0
BOT,Judo,0.0,0.0,1,0.0
BOT,Sailing,0.0,0.0,1,0.0
BOT,Swimming,0.0,0.0,5,0.0
BOT,Weightlifting,0.0,0.0,1,0.0
BRA,Archery,0.0,0.0,17,0.0
BRA,Artistic Gymnastics,0.026785714285714284,2.0,49,0.04081632653061224
BRA,Artistic Swimming,0.0,0.0,13,0.0
BRA,Athletics,0.0062845604224914565,3.0,352,0.008522727272727272
BRA,Badminton,0.0,0.0,4,0.0
BRA,Basketball,0.0,0.0,17,0.0
BRA,Beach Volleyball,0.11904761904761904,3.0,24,0.125
BRA,Bowling,0.0,0.0,1,0.0
BRA,Boxing,0.018140589569160998,2.0,71,0.028169014084507043
BRA,Canoe Slalom,0.0,0.0,14,0.0
BRA,Canoe Sprint,0.041666666666666664,1.0,18,0.05555555555555555
BRA,Cycling BMX Racing,0.0,0.0,6,0.0
BRA,Cycling Mountain Bike,0.0,0.0,14,0.0
BRA,Cycling Road,0.0,0.0,41,0.0
BRA,Cycling Track,0.0,0.0,10,0.0
BRA,Diving,0.0,0.0,29,0.0
BRA,Equestrian Dressage,0.0,0.0,10,0.0
BRA,Equestrian Eventing,0.0,0.0,27,0.0
BRA,Equestrian Jumping,0.019230769230769232,1.0,43,0.023255813953488372
BRA,Fencing,0.0,0.0,36,0.0
BRA,Football,0.07692307692307693,2.0,19,0.10526315789473684
BRA,Golf,0.0,0.0,3,0.0
BRA,Handball,0.0,0.0,12,0.0
BRA,Hockey,0.0,0.0,1,0.0
BRA,Judo,0.023242630385487524,4.0,133,0.03007518796992481
BRA,Marathon Swimming,0.25,1.0,8,0.125
BRA,Modern Pentathlon,0.0,0.0,8,0.0
BRA,Rhythmic Gymnastics,0.0,0.0,8,0.0
BRA,Roller Hockey,0.0,0.0,1,0.0
BRA,Rowing,0.0,0.0,33,0.0
BRA,Rugby Sevens,0.0,0.0,3,0.0
BRA,Sailing,0.06685185185185186,8.0,103,0.07766990291262135
BRA,Shooting,0.0,0.0,49,0.0
BRA,Skateboarding,0.0,0.0,12,0.0
BRA,Surfing,0.25,1.0,4,0.25
BRA,Swimming,0.003508771929824561,1.0,186,0.005376344086021506
BRA,Table Tennis,0.0,0.0,36,0.0
BRA,Taekwondo,0.0,0.0,16,0.0
BRA,Tennis,0.0,0.0,27,0.0
BRA,Trampolining,0.0,0.0,1,0.0
BRA,Triathlon,0.0,0.0,23,0.0
BRA,Volleyball,0.16666666666666666,5.0,26,0.19230769230769232
BRA,Water Polo,0.0,0.0,5,0.0
BRA,Weightlifting,0.0,0.0,21,0.0
BRA,Wrestling,0.0,0.0,14,0.0
BRA,Wushu,0.0,0.0,3,0.0
BRN,Athletics,0.014444444444444444,2.0,83,0.024096385542168676
BRN,Boxing,0.0,0.0,1,0.0
BRN,Cycling Road,0.0,0.0,4,0.0
BRN,Fencing,0.0,0.0,3,0.0
BRN,Handball,0.0,0.0,1,0.0
BRN,Modern Pentathlon,0.0,0.0,6,0.0
BRN,Sailing,0.0,0.0,3,0.0
BRN,Shooting,0.0,0.0,9,0.0
BRN,Swimming,0.0,0.0,14,0.0
BRN,Taekwondo,0.0,0.0,5,0.0
BRN,Wrestling,0.0,0.0,1,0.0
BRU,Athletics,0.0,0.0,7,0.0
BRU,Badminton,0.0,0.0,1,0.0
BRU,Shooting,0.0,0.0,2,0.0
BRU,Swimming,0.0,0.0,2,0.0
BUL,Archery,0.0,0.0,7,0.0
BUL,Artistic Gymnastics,0.01282051282051282,2.0,101,0.019801980198019802
BUL,Artistic Swimming,0.0,0.0,1,0.0
BUL,Athletics,0.01798598227169656,5.0,247,0.020242914979757085
BUL,Badminton,0.0,0.0,20,0.0
BUL,Basketball,0.0,0.0,4,0.0
BUL,Beach Volleyball,0.0,0.0,2,0.0
BUL,Boxing,0.05663780663780664,5.0,90,0.05555555555555555
BUL,Canoe Sprint,0.048412698412698414,4.0,57,0.07017543859649122
BUL,Cycling Road,0.0,0.0,14,0.0
BUL,Cycling Track,0.0,0.0,9,0.0
BUL,Diving,0.0,0.0,4,0.0
BUL,Equestrian Dressage,0.0,0.0,3,0.0
BUL,Equestrian Eventing,0.0,0.0,9,0.0
BUL,Equestrian Jumping,0.0,0.0,7,0.0
BUL,Fencing,0.0,0.0,19,0.0
BUL,Football,0.0,0.0,1,0.0
BUL,Judo,0.0,0.0,29,0.0
BUL,Karate,1.0,1.0,1,1.0
BUL,Marathon Swimming,0.0,0.0,3,0.0
BUL,Modern Pentathlon,0.0,0.0,16,0.0
BUL,Rhythmic Gymnastics,0.037037037037037035,1.0,22,0.045454545454545456
BUL,Rowing,0.06363636363636363,3.0,55,0.05454545454545454
BUL,Sailing,0.0,0.0,9,0.0
BUL,Shooting,0.05952380952380952,4.0,84,0.047619047619047616
BUL,Swimming,0.009615384615384616,1.0,62,0.016129032258064516
BUL,Table Tennis,0.0,0.0,4,0.0
BUL,Tennis,0.0,0.0,12,0.0
BUL,Volleyball,0.0,0.0,9,0.0
BUL,Water Polo,0.0,0.0,2,0.0
BUL,Weightlifting,0.11759259259259258,12.0,86,0.13953488372093023
BUL,Wrestling,0.06220238095238095,14.0,204,0.06862745098039216
BUR,Athletics,0.0,0.0,26,0.0
BUR,Boxing,0.0,0.0,4,0.0
BUR,Cycling Road,0.0,0.0,1,0.0
BUR,Fencing,0.0,0.0,1,0.0
BUR,Judo,0.0,0.0,7,0.0
BUR,Swimming,0.0,0.0,9,0.0
BUR,Taekwondo,0.0,0.0,1,0.0
CAF,Archery,0.0,0.0,1,0.0
CAF,Athletics,0.0,0.0,27,0.0
CAF,Basketball,0.0,0.0,1,0.0
CAF,Boxing,0.0,0.0,6,0.0
CAF,Cycling Road,0.0,0.0,4,0.0
CAF,Judo,0.0,0.0,4,0.0
